       sweep	        time	      energy	  accept
           0	           0	           0	       0
        1200	           1	-7.45951e+07	 595.577
        2400	           2	-7.45951e+07	 593.675
        3600	           3	-7.45952e+07	 593.463
        4800	           4	-7.45952e+07	 588.653
        6000	           5	-7.45952e+07	 581.003
        7200	           6	-7.45952e+07	 576.025
        8400	           7	-7.45952e+07	 576.348
        9600	           8	-7.45952e+07	 576.825
       10800	           9	-7.45952e+07	 578.068
       12000	          10	-7.45952e+07	  575.59
       13200	          11	-7.45953e+07	 576.333
       14400	          12	-7.45953e+07	  567.96
       15600	          13	-7.45953e+07	 563.152
       16800	          14	-7.45953e+07	 561.855
       18000	          15	-7.45953e+07	 562.587
       19200	          16	-7.45953e+07	 564.518
       20400	          17	-7.45953e+07	 562.602
